h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.7568931675857556,0.11008621007204056,0.0,0.16806532442569733,0.3826903998851776,2.452866554260254,0.005666385870426893,0.020707374438643456,0.008162403479218483
2,0.9179362557248341,0.12702423334121704,0.0,0.1989423930644989,0.46864670515060425,2.4037795066833496,0.005420736037194729,0.019508827477693558,0.008333870209753513
3,0.8149359753247967,0.13115383684635162,0.0,0.2068268358707428,0.4767970144748688,2.480614423751831,0.005605289246886969,0.02181822806596756,0.009301497600972652
4,0.760818768109169,0.116065613925457,0.0,0.1847088634967804,0.42670831084251404,2.4558215141296387,0.005823573563247919,0.022862475365400314,0.008248656988143921
5,0.7315636975418264,0.11366395652294159,0.0,0.18141493201255798,0.42402592301368713,2.397904634475708,0.005944063887000084,0.024064740166068077,0.008100456558167934
6,0.5746331432844191,0.11404798179864883,0.0,0.17438334226608276,0.3879358768463135,2.377068519592285,0.007060597185045481,0.02505158819258213,0.008890140801668167
7,0.992,0.1636757105588913,0.0,0.24242031574249268,0.5753049254417419,2.341874361038208,0.006578089669346809,0.012716357596218586,0.009822326712310314
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.9161728395061728,0.12250564247369766,0.0,0.18550775945186615,0.4337792992591858,2.2264606952667236,0.005929258186370134,0.020802060142159462,0.008230701088905334
