h,coverage90,width90,pinball10,pinball50,pinball90
1,0.7568931675857556,0.11008621007204056,0.005666385870426893,0.020707374438643456,0.008162403479218483
2,0.9179362557248341,0.12702423334121704,0.005420736037194729,0.019508827477693558,0.008333870209753513
3,0.8149359753247967,0.13115383684635162,0.005605289246886969,0.02181822806596756,0.009301497600972652
4,0.760818768109169,0.116065613925457,0.005823573563247919,0.022862475365400314,0.008248656988143921
5,0.7315636975418264,0.11366395652294159,0.005944063887000084,0.024064740166068077,0.008100456558167934
6,0.5746331432844191,0.11404798179864883,0.007060597185045481,0.02505158819258213,0.008890140801668167
7,0.992,0.1636757105588913,0.006578089669346809,0.012716357596218586,0.009822326712310314
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.9161728395061728,0.12250564247369766,0.005929258186370134,0.020802060142159462,0.008230701088905334
