h,coverage90,width90,pinball10,pinball50,pinball90
1,0.9392523364485982,0.12129149585962296,0.007441676687449217,0.01696375571191311,0.0072473869659006596
2,0.9703710627161417,0.139191135764122,0.008333740755915642,0.016350358724594116,0.0066151912324130535
3,0.9702775960370128,0.14359137415885925,0.007996246218681335,0.017371119931340218,0.007366745732724667
4,0.9572897196261683,0.12812528014183044,0.007190050557255745,0.018382633104920387,0.006991761736571789
5,0.9439252336448598,0.12297200411558151,0.006777824833989143,0.018705977126955986,0.007180012296885252
6,0.9128971962616822,0.12269718199968338,0.006785205099731684,0.019316930323839188,0.007921788841485977
7,0.98,0.1732322722673416,0.011574549600481987,0.01680859364569187,0.00633457163348794
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.9489583333333333,0.1266869157552719,0.007976586930453777,0.01644694060087204,0.007071975152939558
