time_key,n_assets,pearson,spearman,pearson_cs,spearman_cs
21695,100,-0.750269,0.024890,-0.750269,0.024890
21791,100,0.042163,0.106043,0.042163,0.106043
21815,100,0.370574,-0.389163,0.370574,-0.389163
21839,100,-0.044876,-0.208941,-0.044876,-0.208941
21863,100,0.324221,-0.056940,0.324221,-0.056940
21959,100,0.886311,-0.265839,0.886311,-0.265839
21983,100,0.538036,0.346691,0.538036,0.346691
22007,100,0.573695,-0.055902,0.573695,-0.055902
22031,100,0.721940,-0.320229,0.721940,-0.320229
22127,100,-0.768132,0.185107,-0.768132,0.185107
22151,100,-0.796109,-0.183451,-0.796109,-0.183451
22175,100,-0.718622,-0.117492,-0.718622,-0.117492
22199,100,-0.647437,-0.058362,-0.647437,-0.058362
22319,100,-0.042265,-0.201741,-0.042265,-0.201741
22343,100,-0.476776,-0.225647,-0.476776,-0.225647
22367,100,0.823465,-0.203684,0.823465,-0.203684
22463,100,-0.893359,-0.128569,-0.893359,-0.128569
22487,100,-0.603478,-0.020402,-0.603478,-0.020402
22511,100,0.729052,0.051539,0.729052,0.051539
22535,100,-0.589221,0.056766,-0.589221,0.056766
22631,100,0.047243,-0.161711,0.047243,-0.161711
22655,100,-0.506585,-0.130513,-0.506585,-0.130513
22679,100,-0.395825,0.006001,-0.395825,0.006001
22703,100,-0.310123,0.083672,-0.310123,0.083672
22799,100,-0.164998,-0.100552,-0.164998,-0.100552
22823,100,0.692705,0.186727,0.692705,0.186727
22847,100,-0.425523,-0.026277,-0.425523,-0.026277
22871,100,0.476530,0.058686,0.476530,0.058686
22967,100,-0.929966,-0.047285,-0.929966,-0.047285
22991,100,-0.467846,0.064705,-0.467846,0.064705
23015,100,-0.095663,-0.118284,-0.095663,-0.118284
23039,100,0.782180,-0.279796,0.782180,-0.279796
23135,100,-0.476214,-0.057450,-0.476214,-0.057450
23159,100,-0.657581,-0.188035,-0.657581,-0.188035
23183,100,-0.877651,0.160816,-0.877651,0.160816
23207,100,0.770658,-0.094041,0.770658,-0.094041
23303,100,0.101567,0.100978,0.101567,0.100978
23327,100,-0.421746,-0.460558,-0.421746,-0.460558
23351,100,-0.961605,0.211113,-0.961605,0.211113
23375,100,-0.108596,0.156124,-0.108596,0.156124
23471,100,0.803419,-0.037684,0.803419,-0.037684
23495,100,0.715075,0.095854,0.715075,0.095854
23519,100,-0.960327,0.041278,-0.960327,0.041278
23543,100,-0.725070,-0.340582,-0.725070,-0.340582
23639,100,0.208200,0.062478,0.208200,0.062478
23663,100,-0.869626,0.048413,-0.869626,0.048413
23687,100,0.760780,0.008311,0.760780,0.008311
23711,100,-0.870646,0.194443,-0.870646,0.194443
