h,metric,estimate,ci_lo,ci_hi,n
1,acc,0.4849537037037037,0.4771054685115814,0.501831591129303,4320
1,mcc,0.004252353276448242,-0.008342545479536057,0.04011800140142441,4320
2,acc,0.5072093023255814,0.4959728419780731,0.5205783247947693,4300
2,mcc,0.01072051994562296,-0.01201023068279028,0.03950515761971474,4300
3,acc,0.4892485549132948,0.4736746847629547,0.4971843659877777,4325
3,mcc,0.009611787362596264,-0.007840778678655624,0.03195129334926605,4325
4,acc,0.5039406583217432,0.4940722584724426,0.5171252489089966,4314
4,mcc,0.007726658459414552,-0.011882869526743889,0.03316149860620499,4314
5,acc,0.5013908205841446,0.49002760648727417,0.5122315883636475,4314
5,mcc,0.0030117992478629323,-0.011661907657980919,0.03212538734078407,4314
6,acc,0.5,0.49476996064186096,0.5167179703712463,4262
6,mcc,-0.0027785499208855128,-0.009175410494208336,0.038343772292137146,4262
7,acc,nan,nan,nan,0
7,mcc,nan,nan,nan,0
24,acc,0.5452103849597135,0.5225907564163208,0.5477223992347717,3351
24,mcc,0.041582156245188365,0.015576810576021671,0.06953918188810349,3351
