h,move_mcc,move_auc,move_brier,dir_mcc,dir_auc,dir_brier,dir_acc,dir_ece,dir_f1,dir_tp,dir_tn,dir_fp,dir_fn,n
1,0.298294,0.84011745,0.100968234,0.20356973,0.74543893,0.21707144,0.615376,0.14957117,nan,1460.0,4031.0,926.0,2506.0,10600
2,0.25610048,0.844299,0.10280663,0.2313955,0.7525017,0.21587084,0.6241852,0.14533931,nan,1768.0,3786.0,1076.0,2268.0,10599
3,0.2708994,0.84413654,0.10057364,0.22748075,0.7563306,0.21495284,0.62284243,0.14352797,nan,1625.0,3932.0,956.0,2409.0,10599
4,0.30241126,0.8380738,0.10137829,0.20788035,0.7610808,0.21772529,0.6091154,0.17821024,nan,1403.0,4023.0,780.0,2702.0,10600
5,0.26506668,0.83868337,0.10310222,0.24535538,0.7627324,0.21374705,0.6276667,0.13670504,nan,1766.0,3824.0,971.0,2345.0,10600
6,0.26899886,0.8311475,0.10615646,0.22398248,0.7643689,0.21597786,0.6154715,0.16765988,nan,1486.0,3964.0,789.0,2616.0,10600
7,nan,nan,1.2615309e-06,0.41731322,0.9882309,0.1743833,0.68891305,0.3150479,nan,525.0,2644.0,0.0,1431.0,4600
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
24,0.27984956,0.7512151,0.17304406,-0.016208453,0.4919697,0.2709967,0.49895555,0.11265628,nan,1047.0,625.0,915.0,764.0,4700
