h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.8846226415094339,0.0742897093296051,0.0,0.12430724501609802,0.24833451211452484,2.144252061843872,0.004719004966318607,0.009702266193926334,0.005552288144826889
2,0.9563166336446834,0.09559089690446854,0.0,0.16734321415424347,0.31873437762260437,2.2773396968841553,0.006318967789411545,0.009997108951210976,0.005928683094680309
3,0.8279082932352109,0.07635840773582458,0.0,0.12314631789922714,0.23034502565860748,2.0328047275543213,0.005567973479628563,0.011947519145905972,0.006333610974252224
4,0.9363207547169812,0.08377687633037567,0.0,0.13562384247779846,0.2607634365558624,2.0537164211273193,0.005380832590162754,0.009006674401462078,0.0054406519047915936
5,0.9278301886792453,0.08942053467035294,0.0,0.1581989824771881,0.3155493438243866,2.301109790802002,0.005095113534480333,0.00993115734308958,0.0061198640614748
6,0.9438679245283019,0.09814561158418655,0.0,0.18035803735256195,0.3590391278266907,2.372436761856079,0.005326617509126663,0.009621000848710537,0.006604655180126429
7,0.9230434782608695,0.11202707141637802,0.0,0.2052120715379715,0.3918057382106781,2.4461092948913574,0.005395420361310244,0.010698152706027031,0.008135060779750347
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.7012765957446808,0.08287857472896576,0.0,0.16816164553165436,0.37675246596336365,2.654587745666504,0.005687168799340725,0.01638946123421192,0.007358959410339594
