h,metric,estimate,ci_lo,ci_hi,n
1,acc,0.5377314814814815,0.5277348756790161,0.5505439043045044,4320
1,mcc,0.03333893924605326,0.012280871160328388,0.05696104094386101,4320
2,acc,0.5167441860465116,0.5059815645217896,0.5315654277801514,4300
2,mcc,0.017160192727778134,-0.005087133496999741,0.04402334988117218,4300
3,acc,0.5079768786127168,0.5039713978767395,0.5264512896537781,4325
3,mcc,-0.016795992656919834,-0.03290762007236481,0.008867455646395683,4325
4,acc,0.49698655540101994,0.4848959147930145,0.5098894834518433,4314
4,mcc,-0.011820474794452593,-0.04364362359046936,0.011186663992702961,4314
5,acc,0.5041724617524339,0.4979248344898224,0.5211318731307983,4314
5,mcc,0.01233997985544113,-0.01725328341126442,0.032601285725831985,4314
6,acc,0.500469263256687,0.4947666525840759,0.5195248126983643,4262
6,mcc,0.02919935444694919,0.0015544146299362183,0.04241473972797394,4262
7,acc,nan,nan,nan,0
7,mcc,nan,nan,nan,0
24,acc,0.462548492987168,0.4606257975101471,0.4854656159877777,3351
24,mcc,0.028614005796346632,-0.009084327146410942,0.043180327862501144,3351
