h,move_mcc,move_auc,move_brier,dir_mcc,dir_auc,dir_brier,dir_acc,dir_ece,dir_f1,dir_tp,dir_tn,dir_fp,dir_fn,n
1,0.0898961,0.70598537,0.3801647,-0.011649691,0.4134473,0.26711777,0.53647876,0.13438003,nan,521.0,4266.0,691.0,3445.0,10600
2,0.18879223,0.71286553,0.15784007,0.0019771901,0.42592737,0.26885137,0.5464149,0.09657453,nan,2.0,4860.0,2.0,4034.0,10599
3,0.18865976,0.70564127,0.16095448,-0.10486224,0.4271522,0.27088305,0.44328627,0.1384724,nan,1987.0,1968.0,2920.0,2047.0,10599
4,0.08325567,0.6976979,0.38334978,-0.068054624,0.4382921,0.36677933,0.45442298,0.35771397,nan,4024.0,24.0,4779.0,81.0,10600
5,0.2371542,0.7039582,0.17243186,-0.0769509,0.43738896,0.2685702,0.46114978,0.1345946,nan,1911.0,2196.0,2599.0,2200.0,10600
6,0.23038912,0.7015487,0.17295432,-0.20692483,0.44124892,0.27764973,0.39503106,0.1856297,nan,2894.0,604.0,4149.0,1208.0,10600
7,nan,nan,0.35502273,-0.32898012,0.21747768,0.30476573,0.35108694,0.24003987,nan,1615.0,0.0,2644.0,341.0,4600
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
24,0.09423393,0.6045026,0.25058308,0.036973275,0.53126276,0.25843224,0.5440167,0.09984799,nan,1782.0,41.0,1499.0,29.0,4700
