h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.8433018867924529,0.19796127080917358,0.0,0.35310599207878113,0.7984717488288879,3.7089574337005615,0.017743263393640518,0.025965576991438866,0.0074727716855704784
2,0.9695254269270686,0.19899331033229828,0.0,0.3818127512931824,0.77864009141922,3.7276201248168945,0.01511795911937952,0.021000998094677925,0.008070015348494053
3,0.9426360977450703,0.19685055315494537,0.0,0.3547711968421936,0.7295305132865906,3.856994152069092,0.015303795225918293,0.019469622522592545,0.006677951663732529
4,0.969622641509434,0.20354287326335907,0.0,0.3941092789173126,0.8883980512619019,4.023388862609863,0.01485311146825552,0.01785644143819809,0.007689577993005514
5,0.9692452830188679,0.20356793701648712,0.0,0.38981592655181885,0.8351854085922241,3.894932270050049,0.014876947738230228,0.019438356161117554,0.007412733975797892
6,0.8960377358490565,0.20030276477336884,0.0,0.37285637855529785,0.8001624345779419,3.831732749938965,0.016579043120145798,0.025337276980280876,0.0056510367430746555
7,0.9495652173913044,0.2138252854347229,0.0,0.37598592042922974,0.800744891166687,3.767749786376953,0.01641734503209591,0.019582998007535934,0.005619341507554054
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.9038297872340425,0.21505433320999146,0.0,0.43961092829704285,0.8840444684028625,4.013191223144531,0.018801582977175713,0.03276888653635979,0.010504513047635555
