h,metric,estimate,ci_lo,ci_hi,n
1,acc,0.4976851851851852,0.48245885968208313,0.5072548389434814,4320
1,mcc,-0.012022024976530314,-0.047460511326789856,-1.4837597518635448e-05,4320
2,acc,0.49186046511627907,0.47265419363975525,0.49680665135383606,4300
2,mcc,-0.024668031317832826,-0.06908300518989563,-0.017846019938588142,4300
3,acc,0.5181502890173411,0.5072325468063354,0.5303029417991638,4325
3,mcc,0.01628443671966396,-0.0253905039280653,0.023965904489159584,4325
4,acc,0.5067222994900324,0.49557584524154663,0.5191275477409363,4314
4,mcc,0.01343119304654562,-0.012354058213531971,0.03857125714421272,4314
5,acc,0.5006954102920723,0.4836345613002777,0.5030168294906616,4314
5,mcc,0.001440203882780023,-0.030476689338684082,0.011159898713231087,4314
6,acc,0.5199436884091976,0.5047620534896851,0.5257420539855957,4262
6,mcc,0.04404915901035142,0.007715902291238308,0.050435129553079605,4262
7,acc,nan,nan,nan,0
7,mcc,nan,nan,nan,0
24,acc,0.5162638018501939,0.5001353621482849,0.5254749655723572,3351
24,mcc,0.04585978501851475,0.012759440578520298,0.06489381194114685,3351
