h,move_mcc,move_auc,move_brier,dir_mcc,dir_auc,dir_brier,dir_acc,dir_ece,dir_f1,dir_tp,dir_tn,dir_fp,dir_fn,n
1,nan,0.82938004,0.14841785,0.50114375,0.8667645,0.15885766,0.7527737,0.09802013,nan,2334.0,4383.0,574.0,1632.0,10600
2,nan,0.85345185,0.14742237,0.4903591,0.86985755,0.15936822,0.7448865,0.10886168,nan,2327.0,4301.0,561.0,1709.0,10599
3,nan,0.8577227,0.14521785,0.4898794,0.86946845,0.15165175,0.74803853,0.08461275,nan,2566.0,4108.0,780.0,1468.0,10599
4,nan,0.8549707,0.13649829,0.50270426,0.8701486,0.15742879,0.7444993,0.10248325,nan,2225.0,4407.0,396.0,1880.0,10600
5,nan,0.85178494,0.14793527,0.48273686,0.86910534,0.1548859,0.7410734,0.095976494,nan,2460.0,4140.0,655.0,1651.0,10600
6,nan,0.84537274,0.1503938,0.4783459,0.8705931,0.15483266,0.7370977,0.101720266,nan,2361.0,4166.0,587.0,1741.0,10600
7,nan,nan,3.863056e-06,0.9483591,0.99915963,0.016850447,0.97434783,0.018172156,nan,1840.0,2642.0,2.0,116.0,4600
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
24,nan,0.7803698,0.22119717,-0.063874006,0.4794682,0.26802075,0.45180544,0.13204336,nan,390.0,1124.0,416.0,1421.0,4700
