h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.914622641509434,0.12790797650814056,0.0,0.2806900143623352,0.4006851315498352,2.658080816268921,0.008581983856856823,0.015034540556371212,0.008452809415757656
2,0.894329653740919,0.11283911764621735,0.0,0.24758246541023254,0.34467560052871704,2.507606267929077,0.008780201897025108,0.01643029786646366,0.007424631156027317
3,0.8441362392678554,0.11354109644889832,0.0,0.24783329665660858,0.33855563402175903,2.549380302429199,0.009421284310519695,0.01767505146563053,0.006941051688045263
4,0.925188679245283,0.12307887524366379,0.0,0.27811816334724426,0.39036914706230164,2.5891730785369873,0.009149061515927315,0.015854407101869583,0.007362913340330124
5,0.8379245283018868,0.11473461240530014,0.0,0.23679867386817932,0.3320198059082031,2.3445990085601807,0.008439072407782078,0.016680320724844933,0.008059278130531311
6,0.8324528301886792,0.10945644229650497,0.0,0.24383267760276794,0.3515205681324005,2.6375176906585693,0.008757871575653553,0.01717354916036129,0.006746133789420128
7,0.967391304347826,0.14401495456695557,0.0,0.3032580614089966,0.4272322952747345,2.703090190887451,0.010460136458277702,0.016443245112895966,0.0065549989230930805
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.951063829787234,0.13081467151641846,0.0,0.2772181034088135,0.3074765205383301,2.63613224029541,0.008296297863125801,0.01399568747729063,0.009241735562682152
