h,metric,estimate,ci_lo,ci_hi,n
1,acc,0.46967592592592594,0.4578898549079895,0.48250389099121094,4320
1,mcc,-0.010381721964789023,-0.029172087088227272,0.024074317887425423,4320
2,acc,0.4881395348837209,0.47336965799331665,0.49989768862724304,4300
2,mcc,-0.002386903826181707,-0.02860705740749836,0.01571672037243843,4300
3,acc,0.48554913294797686,0.46927306056022644,0.4942006468772888,4325
3,mcc,-0.0010690053517253063,-0.021861685439944267,0.02211761102080345,4325
4,acc,0.500927213722763,0.48902878165245056,0.5123898386955261,4314
4,mcc,0.007446401782577483,-0.018048586323857307,0.03944069892168045,4314
5,acc,0.5090403337969402,0.4914442002773285,0.5146961212158203,4314
5,mcc,0.027126636293893232,0.0075336783193051815,0.05690854415297508,4314
6,acc,0.5096198967620835,0.4884435832500458,0.5129805207252502,4262
6,mcc,0.019271748255628388,-0.0065381950698792934,0.0392698235809803,4262
7,acc,nan,nan,nan,0
7,mcc,nan,nan,nan,0
24,acc,0.5514771709937332,0.5323272943496704,0.5579248666763306,3351
24,mcc,0.06396386118380425,0.04349726065993309,0.10029217600822449,3351
