h,move_mcc,move_auc,move_brier,dir_mcc,dir_auc,dir_brier,dir_acc,dir_ece,dir_f1,dir_tp,dir_tn,dir_fp,dir_fn,n
1,0.03881129,0.88973,0.12588009,0.5053755,0.86981577,0.14172904,0.75535136,0.028769838,nan,2384.0,4356.0,601.0,1582.0,10600
2,nan,0.8941988,0.13572833,0.49063748,0.861263,0.14182301,0.7440998,0.040119953,nan,2281.0,4340.0,522.0,1755.0,10599
3,nan,0.8927427,0.12893207,0.4829633,0.8635191,0.14151599,0.744564,0.038027972,nan,2530.0,4113.0,775.0,1504.0,10599
4,0.15300454,0.8827586,0.123737395,0.4792098,0.8632234,0.14236943,0.73563087,0.051551767,nan,2248.0,4305.0,498.0,1857.0,10600
5,0.02227164,0.8905094,0.12760833,0.49038747,0.8627603,0.14113003,0.7402874,0.03669791,nan,3316.0,3277.0,1518.0,795.0,10600
6,0.13217418,0.88812524,0.12702616,0.4920218,0.86660415,0.14000243,0.7468097,0.030722003,nan,3039.0,3574.0,1179.0,1063.0,10600
7,nan,nan,2.4843447e-09,0.91407615,0.9991587,0.036275297,0.9556522,0.041802842,nan,1955.0,2441.0,203.0,1.0,4600
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
24,nan,0.78119195,0.23179832,0.024257405,0.516147,0.24891303,0.5287974,0.020644573,nan,1326.0,446.0,1094.0,485.0,4700
