h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.700566037735849,0.1440311223268509,0.0,0.23261785507202148,0.6450730562210083,1.9410314559936523,0.010278606787323952,0.028082339093089104,0.010851813480257988
2,0.6842154920275497,0.14067305624485016,0.0,0.24329665303230286,0.5946223735809326,2.053057909011841,0.010134853422641754,0.026611991226673126,0.010321669280529022
3,0.6990282102085102,0.14346058666706085,0.0,0.24485649168491364,0.6491360068321228,2.103961706161499,0.010370266623795033,0.02624664641916752,0.0103045254945755
4,0.49198113207547167,0.13339205086231232,0.0,0.23113475739955902,0.5698118209838867,2.0763745307922363,0.014607441611588001,0.031133491545915604,0.011059821583330631
5,0.770377358490566,0.15344180166721344,0.0,0.26133784651756287,0.7371776700019836,2.048811435699463,0.009897895157337189,0.02741476148366928,0.010788250714540482
6,0.6433962264150943,0.13865593075752258,0.0,0.24687370657920837,0.670301079750061,2.1824536323547363,0.011634210124611855,0.029127663001418114,0.011448951438069344
7,0.7989130434782609,0.1691494733095169,0.0,0.28425002098083496,0.4706656336784363,2.0533952713012695,0.0123885003849864,0.030479244887828827,0.010581567883491516
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.735531914893617,0.16318349540233612,0.0,0.3349635899066925,0.8308859467506409,2.8714022636413574,0.01082066260278225,0.029333584010601044,0.01277220994234085
