h,metric,estimate,ci_lo,ci_hi,n
1,acc,0.47314814814814815,0.45567694306373596,0.4813750684261322,4320
1,mcc,-0.028361887762138206,-0.06078765541315079,-0.013201327063143253,4320
2,acc,0.4932558139534884,0.47450751066207886,0.5016468167304993,4300
2,mcc,0.003688250648170001,-0.03362707421183586,0.018615325912833214,4300
3,acc,0.4945664739884393,0.4754393696784973,0.5000110268592834,4325
3,mcc,0.012945366419209693,-0.014322426170110703,0.02893351949751377,4325
4,acc,0.5048678720445062,0.4875098168849945,0.5131810307502747,4314
4,mcc,0.012985778466921213,-0.018680859357118607,0.027096619829535484,4314
5,acc,0.5006954102920723,0.4845375120639801,0.5095593929290771,4314
5,mcc,0.001548379105160726,-0.022901365533471107,0.021885806694626808,4314
6,acc,0.505631159080244,0.48801133036613464,0.5107688903808594,4262
6,mcc,0.007579053661605273,-0.015866251662373543,0.02510702796280384,4262
7,acc,nan,nan,nan,0
7,mcc,nan,nan,nan,0
24,acc,0.5299910474485229,0.5137313008308411,0.5384694933891296,3351
24,mcc,0.026115738266756738,-0.0018914327956736088,0.05386383458971977,3351
