h,move_mcc,move_auc,move_brier,dir_mcc,dir_auc,dir_brier,dir_acc,dir_ece,dir_f1,dir_tp,dir_tn,dir_fp,dir_fn,n
1,nan,0.88432527,0.12762862,0.53373915,0.87389505,0.13748802,0.7649894,0.0497634,nan,2262.0,4564.0,393.0,1704.0,10600
2,nan,0.8844447,0.1287971,0.5124286,0.8761423,0.13852413,0.7578108,0.05280563,nan,3003.0,3740.0,1122.0,1033.0,10599
3,nan,0.8861303,0.12561828,0.5125609,0.87562615,0.14033921,0.74478817,0.07246809,nan,3450.0,3195.0,1693.0,584.0,10599
4,nan,0.8813007,0.13195696,0.49638048,0.8767385,0.137595,0.74741805,0.058115598,nan,2466.0,4192.0,611.0,1639.0,10600
5,nan,0.883078,0.12713718,0.50427496,0.8776031,0.13708363,0.74927014,0.054989073,nan,2400.0,4273.0,522.0,1711.0,10600
6,nan,0.8821649,0.13372317,0.5182802,0.882287,0.13416171,0.76103896,0.04233786,nan,2901.0,3838.0,915.0,1201.0,10600
7,nan,nan,1.9168623e-07,0.96849966,0.99925303,0.01173184,0.9845652,0.007398774,nan,1900.0,2629.0,15.0,56.0,4600
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
24,nan,0.78087044,0.24899697,0.049281742,0.5305675,0.25838554,0.5440167,0.057885516,nan,1486.0,337.0,1203.0,325.0,4700
