h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.970566037735849,0.4345822036266327,0.0,1.1466317176818848,3.4700798988342285,4.00499963760376,0.02271982654929161,0.04633944109082222,0.023264555260539055
2,0.9204641947353523,0.4057917594909668,0.0,1.029088020324707,3.1419837474823,3.784083366394043,0.021618075668811798,0.05144176632165909,0.021961698308587074
3,0.9558448910274554,0.4013608694076538,0.0,1.070211410522461,3.25376558303833,4.109572410583496,0.02047528512775898,0.04878561571240425,0.022680111229419708
4,0.9481132075471698,0.41765186190605164,0.0,1.0800158977508545,3.3709847927093506,3.95572829246521,0.020861627534031868,0.04950006306171417,0.023940209299325943
5,0.9536792452830188,0.40108150243759155,0.0,1.0189858675003052,3.2706212997436523,3.793682336807251,0.021611860021948814,0.04917085915803909,0.02150094322860241
6,0.9393396226415094,0.41789573431015015,0.0,1.1094920635223389,3.535510778427124,4.137492656707764,0.020935876294970512,0.050456270575523376,0.023793194442987442
7,0.9710869565217392,0.42961642146110535,0.0,0.8706928491592407,1.9637318849563599,2.5188801288604736,0.02653433009982109,0.06172656640410423,0.019794002175331116
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.985531914893617,0.41886115074157715,0.0,1.2605595588684082,3.5360004901885986,5.355679988861084,0.01756277307868004,0.04675785452127457,0.025677543133497238
