h,metric,estimate,ci_lo,ci_hi,n
1,acc,0.4787037037037037,0.4639018476009369,0.4857082664966583,4320
1,mcc,-0.009035054834918512,-0.03911679610610008,0.01088785845786333,4320
2,acc,0.4841860465116279,0.466306209564209,0.48999887704849243,4300
2,mcc,-0.021214830878128976,-0.05472719296813011,-0.00902299303561449,4300
3,acc,0.4774566473988439,0.4621333181858063,0.48485317826271057,4325
3,mcc,-0.026834771842674725,-0.05027573183178902,-0.002303588902577758,4325
4,acc,0.49235048678720444,0.47887954115867615,0.5001089572906494,4314
4,mcc,-0.015840293964035933,-0.042732175439596176,-0.000736941525246948,4314
5,acc,0.500927213722763,0.481821209192276,0.5049150586128235,4314
5,mcc,0.0021052025102749478,-0.02898995578289032,0.017761360853910446,4314
6,acc,0.513608634443923,0.4978872239589691,0.5228074193000793,4262
6,mcc,0.02829001913640059,-0.004064330831170082,0.04500918835401535,4262
7,acc,nan,nan,nan,0
7,mcc,nan,nan,nan,0
24,acc,0.5478961504028648,0.5226108431816101,0.5524187088012695,3351
24,mcc,0.05171333616559957,0.01939530111849308,0.07986648380756378,3351
