h,move_mcc,move_auc,move_brier,dir_mcc,dir_auc,dir_brier,dir_acc,dir_ece,dir_f1,dir_tp,dir_tn,dir_fp,dir_fn,n
1,nan,0.8875061,0.13520119,0.49522123,0.8745948,0.13343069,0.74492884,0.050328754,nan,3120.0,3527.0,1430.0,846.0,10600
2,nan,0.8903207,0.13583927,0.5486453,0.8794064,0.13585414,0.7480333,0.06696694,nan,3765.0,2891.0,1971.0,271.0,10599
3,nan,0.8908703,0.13283563,0.51738536,0.87858,0.13041139,0.7582381,0.03987937,nan,2401.0,4364.0,524.0,1633.0,10599
4,nan,0.8859173,0.13708661,0.5070322,0.8765383,0.13153441,0.7538168,0.04150288,nan,2574.0,4141.0,662.0,1531.0,10600
5,nan,0.8835405,0.1366992,0.49695486,0.87550956,0.13218673,0.748821,0.049194023,nan,2556.0,4113.0,682.0,1555.0,10600
6,nan,0.87995654,0.14306982,0.49374297,0.8752379,0.1305597,0.7478261,0.04704409,nan,3029.0,3593.0,1160.0,1073.0,10600
7,nan,nan,1.471894e-08,0.97512126,0.99960554,0.008377462,0.9878261,0.008478224,nan,1933.0,2611.0,33.0,23.0,4600
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
24,nan,0.7752704,0.25595436,0.012100501,0.5054483,0.25559363,0.5162638,0.059591576,nan,1149.0,581.0,959.0,662.0,4700
