h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.6362264150943396,0.09722643345594406,0.0,0.21487008035182953,0.30498552322387695,2.806161880493164,0.02465386688709259,0.024959290400147438,0.009344233199954033
2,0.6933672988017737,0.09839843958616257,0.0,0.21786871552467346,0.2945997714996338,2.802952289581299,0.02317589521408081,0.02256328985095024,0.00934012234210968
3,0.6433625813756014,0.09907308965921402,0.0,0.23673512041568756,0.33046597242355347,3.146275758743286,0.025251377373933792,0.026245281100273132,0.009373612701892853
4,0.6919811320754717,0.09390995651483536,0.0,0.21310192346572876,0.30026519298553467,2.9788036346435547,0.022474665194749832,0.023032067343592644,0.008443431928753853
5,0.7522641509433963,0.08922220766544342,0.0,0.19567951560020447,0.2736082375049591,2.7686541080474854,0.02056746929883957,0.02162441425025463,0.00794367678463459
6,0.8181132075471698,0.10680224001407623,0.0,0.23124124109745026,0.3113747239112854,2.8021023273468018,0.020716983824968338,0.02215486392378807,0.00790125411003828
7,0.8565217391304348,0.11162637174129486,0.0,0.2570350468158722,0.36232784390449524,3.3459815979003906,0.02089245244860649,0.02087075263261795,0.007685126271098852
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.4848936170212766,0.07891631126403809,0.0,0.16440358757972717,0.20168642699718475,2.5564513206481934,0.034725453704595566,0.032908204942941666,0.010350611060857773
