h,metric,estimate,ci_lo,ci_hi,n
1,acc,0.5412037037037037,0.5315237641334534,0.5552732348442078,4320
1,mcc,0.04741537163857935,0.024152124300599098,0.0782858282327652,4320
2,acc,0.5093023255813953,0.4955679178237915,0.5202524662017822,4300
2,mcc,0.016950827834136196,-0.009776747785508633,0.03952094912528992,4300
3,acc,0.5056647398843931,0.4959469735622406,0.521208643913269,4325
3,mcc,-0.007844040805592024,-0.029539605602622032,0.018017156049609184,4325
4,acc,0.5078813166434863,0.49779099225997925,0.5238696336746216,4314
4,mcc,0.015651421397816306,-0.0049704196862876415,0.04769069328904152,4314
5,acc,0.4993045897079277,0.489055335521698,0.5167422294616699,4314
5,mcc,-0.001853698771683128,-0.029094334691762924,0.023855984210968018,4314
6,acc,0.5131393711872361,0.5041093230247498,0.5300225019454956,4262
6,mcc,0.02719373855435042,0.008237958885729313,0.059228844940662384,4262
7,acc,nan,nan,nan,0
7,mcc,nan,nan,nan,0
24,acc,0.4673231871083259,0.46530798077583313,0.4906701147556305,3351
24,mcc,0.012681937208967282,-0.020473990589380264,0.038707368075847626,3351
