h,move_mcc,move_auc,move_brier,dir_mcc,dir_auc,dir_brier,dir_acc,dir_ece,dir_f1,dir_tp,dir_tn,dir_fp,dir_fn,n
1,0.053980056,0.8907559,0.121148534,0.5017045,0.86875147,0.166171,0.74560124,0.11384688,nan,3210.0,3443.0,1514.0,756.0,10600
2,nan,0.8940681,0.12760904,0.5128119,0.8694258,0.16156106,0.7542144,0.10661453,nan,3198.0,3513.0,1349.0,838.0,10599
3,0.059295893,0.89167,0.120949976,0.514412,0.86780375,0.16636313,0.7477023,0.113833085,nan,3410.0,3261.0,1627.0,624.0,10599
4,0.0546054,0.8868697,0.12286914,0.5325864,0.86915416,0.16428907,0.7540413,0.1094238,nan,3586.0,3131.0,1672.0,519.0,10600
5,0.054567024,0.8871501,0.12582135,0.5028145,0.8671545,0.16181633,0.7484842,0.11067904,nan,3271.0,3395.0,1400.0,840.0,10600
6,0.07260482,0.8846276,0.12571812,0.5042937,0.8676382,0.16169846,0.751214,0.1127938,nan,3178.0,3474.0,1279.0,924.0,10600
7,nan,nan,5.5524826e-08,0.97091824,0.99963355,0.00989177,0.98565215,0.015845044,nan,1945.0,2589.0,55.0,11.0,4600
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
24,nan,0.77925456,0.21441233,-0.032859992,0.4728404,0.31390333,0.5061176,0.19913155,nan,1336.0,360.0,1180.0,475.0,4700
