h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.7707547169811321,0.11871913820505142,0.0,0.3849168121814728,0.8552076816558838,6.083001136779785,0.008307266049087048,0.015542949549853802,0.007411897648125887
2,0.7486555335409001,0.12563766539096832,0.0,0.38976943492889404,0.7763175964355469,5.294010162353516,0.009428180754184723,0.017527565360069275,0.008118522353470325
3,0.847155392018115,0.13025939464569092,0.0,0.41612210869789124,0.89460289478302,5.6565775871276855,0.007973238825798035,0.015233747661113739,0.007691427133977413
4,0.7363207547169811,0.14319317042827606,0.0,0.44885724782943726,0.9246699213981628,5.346683025360107,0.009074659086763859,0.01602054201066494,0.010265149176120758
5,0.9030188679245283,0.13714902102947235,0.0,0.4190009832382202,0.8384265899658203,5.063658237457275,0.007781216409057379,0.015025683678686619,0.00792983639985323
6,0.7385849056603774,0.13017049431800842,0.0,0.3997482359409332,0.8219333291053772,5.187261581420898,0.008427607826888561,0.016083667054772377,0.009309488348662853
7,0.57,0.14300967752933502,0.0,0.47655171155929565,0.8757539391517639,6.982736110687256,0.012083870358765125,0.020520133897662163,0.01094562653452158
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.8642553191489362,0.1278810352087021,0.0,0.4148868918418884,0.8361048698425293,5.080315113067627,0.008540642447769642,0.018746275454759598,0.006697962526232004
