h,metric,estimate,ci_lo,ci_hi,n
1,acc,0.5266203703703703,0.5149906873703003,0.5375531911849976,4320
1,mcc,0.006479869492836149,-0.02086426131427288,0.023849427700042725,4320
2,acc,0.5155813953488372,0.5023616552352905,0.527040421962738,4300
2,mcc,0.01189274717151666,-0.02801092527806759,0.02560385875403881,4300
3,acc,0.5149132947976879,0.5086520314216614,0.5313217043876648,4325
3,mcc,-0.01283947092210288,-0.04730597883462906,0.008580144494771957,4325
4,acc,0.5006954102920723,0.48606425523757935,0.5105850696563721,4314
4,mcc,-0.000771129081131147,-0.04405127093195915,0.012643147259950638,4314
5,acc,0.5027816411682893,0.49061673879623413,0.5173826217651367,4314
5,mcc,0.009814592442618583,-0.03977285325527191,0.015158256515860558,4314
6,acc,0.501407789770061,0.4913478493690491,0.5181663036346436,4262
6,mcc,0.029398577243748076,-0.015476355329155922,0.036244746297597885,4262
7,acc,nan,nan,nan,0
7,mcc,nan,nan,nan,0
24,acc,0.4834377797672337,0.4757186472415924,0.5016545653343201,3351
24,mcc,0.04575021158848676,0.010553332976996899,0.06623029708862305,3351
