h,move_mcc,move_auc,move_brier,dir_mcc,dir_auc,dir_brier,dir_acc,dir_ece,dir_f1,dir_tp,dir_tn,dir_fp,dir_fn,n
1,0.44853008,0.8923023,0.0898846,0.48852834,0.8640329,0.13166939,0.74873924,0.024332326,nan,2492.0,4189.0,768.0,1474.0,10600
2,0.4473291,0.8980554,0.08931611,0.48943722,0.8632517,0.13421199,0.733648,0.04137466,nan,3399.0,3129.0,1733.0,637.0,10599
3,0.4099254,0.89502376,0.09013775,0.4742164,0.86326176,0.13245897,0.7403049,0.027578438,nan,2790.0,3815.0,1073.0,1244.0,10599
4,0.4585961,0.8919827,0.09069519,0.4769511,0.86473453,0.1322669,0.7392232,0.033146832,nan,3021.0,3564.0,1239.0,1084.0,10600
5,0.4577275,0.8924285,0.0905983,0.4735652,0.86445177,0.13285074,0.7359084,0.03879694,nan,3116.0,3438.0,1357.0,995.0,10600
6,0.45549613,0.8898662,0.09220282,0.49235263,0.8695347,0.13140604,0.746358,0.03018718,nan,3086.0,3523.0,1230.0,1016.0,10600
7,nan,nan,1.2749159e-05,0.9313646,0.99941915,0.019330123,0.965,0.032382354,nan,1954.0,2485.0,159.0,2.0,4600
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
24,0.3874919,0.7802112,0.16118643,0.010243107,0.49548233,0.2520425,0.51715904,0.03248421,nan,1189.0,544.0,996.0,622.0,4700
