h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.8492452830188679,0.09997297078371048,0.0,0.2401195466518402,0.44846805930137634,3.2446091175079346,0.009635809808969498,0.025085659697651863,0.023515550419688225
2,0.726766676101519,0.09140994399785995,0.0,0.21898813545703888,0.4092867374420166,3.2302749156951904,0.00988884549587965,0.027472486719489098,0.02354259602725506
3,0.7964902349278233,0.09134384989738464,0.0,0.21018683910369873,0.40496626496315,3.0290608406066895,0.009433052502572536,0.0263177789747715,0.02376946620643139
4,0.8237735849056603,0.09854426234960556,0.0,0.22556310892105103,0.4362037181854248,2.9932661056518555,0.009562559425830841,0.02566981129348278,0.02281765453517437
5,0.8706603773584906,0.09953673183917999,0.0,0.22890445590019226,0.44358882308006287,2.954622745513916,0.00902589038014412,0.023156870156526566,0.020479870960116386
6,0.6253773584905661,0.08027948439121246,0.0,0.18472684919834137,0.3701122999191284,3.0322673320770264,0.009498142637312412,0.0277544017881155,0.02543264627456665
7,0.931304347826087,0.11474261432886124,0.0,0.25369760394096375,0.5234453678131104,2.919274091720581,0.009422527626156807,0.024083547294139862,0.024770516902208328
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.8827659574468085,0.11250755935907364,0.0,0.2533513903617859,0.38962414860725403,2.773561954498291,0.010532994754612446,0.025868024677038193,0.024399347603321075
