h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.7324528301886792,0.1244828924536705,0.01,0.28836551308631897,0.33751237392425537,3.3118557929992676,0.01146857813000679,0.026468105614185333,0.0214069914072752
2,0.7925275969431078,0.12225979566574097,0.00990566037735849,0.2729441523551941,0.33321577310562134,3.1490228176116943,0.01095497515052557,0.029302937909960747,0.024955037981271744
3,0.7942258703651288,0.12323904782533646,0.00990566037735849,0.2731650173664093,0.32104820013046265,3.069736957550049,0.01026361808180809,0.02588053233921528,0.019834745675325394
4,0.7972641509433962,0.11893320828676224,0.01,0.28235819935798645,0.3416028320789337,3.3959405422210693,0.01005673035979271,0.025568580254912376,0.018635066226124763
5,0.7959433962264151,0.11932102590799332,0.01,0.2680422365665436,0.3161185383796692,3.109086513519287,0.0100804902613163,0.024957718327641487,0.01891893893480301
6,0.7738679245283019,0.11759570986032486,0.01,0.2752072811126709,0.33371999859809875,3.317051410675049,0.010408829897642136,0.02476188726723194,0.016561387106776237
7,0.6417391304347826,0.13171833753585815,0.004339622641509434,0.28594905138015747,0.33090776205062866,3.1959848403930664,0.012239886447787285,0.03360581398010254,0.01873340643942356
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.6236170212765958,0.11495070159435272,0.004433962264150944,0.2764131426811218,0.33528661727905273,3.176443338394165,0.011232055723667145,0.026861323043704033,0.02200946770608425
