h,metric,estimate,ci_lo,ci_hi,n
1,acc,0.5046296296296297,0.498906672000885,0.5225703120231628,4320
1,mcc,0.02900135119291311,0.02307039126753807,0.06751752644777298,4320
2,acc,0.48943927583605734,0.4870201647281647,0.5056750178337097,7954
2,mcc,-0.026146014286935887,-0.03987890109419823,0.006084552500396967,7954
3,acc,0.4969774919614148,0.48478665947914124,0.502189040184021,7775
3,mcc,-0.0020426678383321573,-0.02185240387916565,0.012884777970612049,7775
4,acc,0.4599248996503949,0.4454593062400818,0.4625789523124695,7723
4,mcc,-0.021787881193450598,-0.0293173436075449,0.00672546960413456,7723
5,acc,0.534944823962165,0.5154109001159668,0.5356695652008057,7612
5,mcc,0.07042609113432262,0.05039603263139725,0.08852961659431458,7612
6,acc,0.5064649599172485,0.4942127764225006,0.5161312818527222,7734
6,mcc,-0.010944206129625685,-0.028147023171186447,0.01719488576054573,7734
7,acc,0.4365217391304348,0.42248624563217163,0.44489845633506775,4600
7,mcc,-0.00877673234067142,-0.030000654980540276,0.01146369706839323,4600
24,acc,0.4525531914893617,0.4186979830265045,0.47334155440330505,4700
24,mcc,0.02024506151440459,-0.029201069846749306,0.05430971458554268,4700
