h,mcc,auc,brier,acc,ba,ece,pos_rate,n
1,0.333242646992452,0.613364091265877,0.2528839155271868,0.714392523364486,0.6782833238190381,0.279794986582248,0.2672897196261682,10700
2,0.18731194566620596,0.36177000709373897,0.26773152478160905,0.7203476960463595,0.5705296000008354,0.3204152499994883,0.27815683708757827,10699
3,0.22739539241717435,0.44421360720470227,0.25811754432090506,0.7153004953733993,0.6027300246540404,0.29314472871090125,0.2743247032432938,10699
4,0.1955297197702135,0.37324164613489375,0.26441694505334434,0.7147663551401869,0.575654022516511,0.3066276371409402,0.28598130841121494,10700
5,0.20479327455050259,0.4018252997134359,0.26448215068704733,0.7123364485981308,0.5845889033822697,0.3119494993727062,0.2847663551401869,10700
6,0.25984921549167694,0.4750721057695219,0.2546811172123979,0.7140186915887851,0.6203468937872253,0.2787555700878256,0.28813084112149534,10700
7,nan,nan,0.21591358579176717,1.0,0.5,0.4645771086215973,0.0,4600
8,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,0
24,0.0032476764234764554,0.5107420093814771,0.2744888070401171,0.5129166666666667,0.5015468528417149,0.13218473992232857,0.5364583333333334,4800
