h,mcc,auc,brier,acc,ba,ece,pos_rate,n
1,0.333242646992452,0.613364091265877,0.2528839155271868,0.714392523364486,0.6782833238190381,0.279794986582248,0.2672897196261682,10700
2,-0.002810198265368244,0.4998267281287637,0.3120502171459779,0.49799046639872885,0.49880933902014046,0.21978742167728285,0.5015422002056267,10699
3,-0.03411126859177883,0.47369781712516285,0.30287964841788595,0.4854659313954575,0.4835023654381786,0.19138921021994543,0.4922889989718665,10699
4,-0.007630663559919469,0.4994698437768712,0.30469786146050176,0.48345794392523367,0.496630684945929,0.20698195272377723,0.5279439252336449,10700
5,0.03862284350793296,0.5166623026441574,0.300118959638643,0.5159813084112149,0.5177014396452542,0.18940927088817702,0.5042990654205608,10700
6,-0.004708195608247356,0.49196154863346203,0.28987238147883043,0.495607476635514,0.49767141216218014,0.16084587402781036,0.5138317757009346,10700
7,0.04009981970022062,0.5284552954934175,0.28234643298876855,0.5032608695652174,0.5195884455949884,0.1640520362240141,0.43543478260869567,4600
8,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,0
24,0.9782200389232211,0.9995061085353734,0.00865628650056507,0.989375,0.9898940696585237,0.009627034725587387,0.41625,4800
