h,temp,mcc,auc,brier,acc,ba,ece,n
1,5.0,0.333242646992452,0.7939097732624518,0.14774203756181528,0.714392523364486,0.6782833238190381,0.060450677387068205,10700
2,5.0,0.18731194566620596,0.7969417213490217,0.1485148744836178,0.7203476960463595,0.5705296000008354,0.06362166691298843,10699
3,5.0,0.22739539241717435,0.791319039431544,0.1492162009124562,0.7153004953733993,0.6027300246540404,0.06318255609728508,10699
4,5.0,0.1955297197702135,0.7987280780549567,0.14700271247771815,0.7147663551401869,0.575654022516511,0.05747013396470346,10700
5,5.0,0.20479327455050259,0.7990058489989854,0.14857768540737828,0.7123364485981308,0.5845889033822697,0.06810007599539289,10700
6,5.0,0.25984921549167694,0.8006641638573192,0.1462462194733857,0.7140186915887851,0.6203468937872253,0.050377004823395015,10700
7,1.0,nan,nan,4.839118035212366e-12,1.0,0.5,1.7752445273799822e-06,4600
8,1.0,nan,nan,nan,nan,nan,nan,0
9,1.0,nan,nan,nan,nan,nan,nan,0
10,1.0,nan,nan,nan,nan,nan,nan,0
11,1.0,nan,nan,nan,nan,nan,nan,0
12,1.0,nan,nan,nan,nan,nan,nan,0
13,1.0,nan,nan,nan,nan,nan,nan,0
14,1.0,nan,nan,nan,nan,nan,nan,0
15,1.0,nan,nan,nan,nan,nan,nan,0
16,1.0,nan,nan,nan,nan,nan,nan,0
17,1.0,nan,nan,nan,nan,nan,nan,0
18,1.0,nan,nan,nan,nan,nan,nan,0
19,1.0,nan,nan,nan,nan,nan,nan,0
20,1.0,nan,nan,nan,nan,nan,nan,0
21,1.0,nan,nan,nan,nan,nan,nan,0
22,1.0,nan,nan,nan,nan,nan,nan,0
23,1.0,nan,nan,nan,nan,nan,nan,0
24,5.0,0.0032476764234764554,0.5107426202683539,0.25051206133698467,0.5129166666666667,0.5015468528417149,0.02781307582122584,4800
