h,move_mcc,move_auc,move_brier,dir_mcc,dir_auc,dir_brier,dir_acc,dir_ece,n
1,0.45750457,0.8906053,0.08942266,0.015069731,0.54689175,0.26949906,0.545404,0.13179342,10700
2,0.4392768,0.8951444,0.088558495,0.00041014072,0.5407329,0.27527368,0.5427617,0.14847821,10699
3,0.4617285,0.8937458,0.089785844,0.04368431,0.54148006,0.26465058,0.5367941,0.113355815,10699
4,0.45880243,0.89027435,0.09038954,0.12536573,0.5508901,0.3055211,0.5118531,0.23115212,10700
5,0.4522497,0.89043236,0.09076072,0.065936245,0.5410209,0.26196015,0.5434807,0.09013525,10700
6,0.45017534,0.8866012,0.092787094,0.0731194,0.543872,0.2614912,0.5399261,0.09879594,10700
7,nan,nan,6.6670066e-07,-0.26914564,0.28714153,0.27795038,0.3721739,0.17505941,4600
8,nan,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,nan,0
24,0.38566154,0.77809286,0.16041811,0.045153506,0.5133621,0.25511396,0.5491228,0.06316725,4800
