h,corr_w_mask_ratio,corr_w_delta_mean,corr_w_delta_max,auc_zero_mask_ratio,auc_zero_delta_mean,auc_zero_delta_max,zero_rate
1,-0.016052940162966774,0.007658462862838674,-0.008031130632311385,nan,nan,nan,0.0
2,-0.017473165870267385,0.008484704218704573,-0.008871907251073867,nan,nan,nan,0.0
3,-0.016532083551033843,0.008416054429165072,-0.008178538934676084,nan,nan,nan,0.0
4,-0.019267987099439055,0.010293392143342173,-0.008576091028022939,nan,nan,nan,0.0
5,-0.021347810386515415,0.012203009808899917,-0.008444100166922864,nan,nan,nan,0.0
6,-0.018493845411638885,0.009460127231855946,-0.008168307617164305,nan,nan,nan,0.0
7,-0.01984053455586405,0.010158262814890927,-0.008887993788090512,nan,nan,nan,0.0
8,-0.040771131737479135,0.031195013674438915,-0.012797544298058818,nan,nan,nan,0.0
9,-0.04574638525779769,0.04163768629626272,-0.009367968388102575,nan,nan,nan,0.0
10,nan,nan,nan,nan,nan,nan,1.0
11,-0.4299736329257992,0.3392394949311941,-0.012430415291126613,0.8763751811594203,0.1514009575569358,0.4449379658385093,0.7850467289719626
12,nan,nan,nan,nan,nan,nan,1.0
13,nan,nan,nan,nan,nan,nan,1.0
14,nan,nan,nan,nan,nan,nan,1.0
15,-0.052447941822522166,0.0666025591853077,-0.012229980570063382,0.7772924855811976,0.1861809087813319,0.5434413132011976,0.9942990654205608
16,nan,nan,nan,nan,nan,nan,1.0
17,0.22426969666745272,-0.17501772729719806,-0.03827906999235797,0.30626998506598546,0.6854283930358562,0.49641673422726923,0.9066355140186916
18,nan,nan,nan,nan,nan,nan,1.0
19,nan,nan,nan,nan,nan,nan,1.0
20,nan,nan,nan,nan,nan,nan,1.0
21,0.013188586314848658,-0.04611264896665871,-0.008019740759772614,0.9213959425527668,0.13122576160308738,0.4875066801144462,0.5242990654205607
22,-0.07359300157402572,0.05381621628679236,-0.018828453839100628,nan,nan,nan,0.0
23,-0.5783407492417436,0.5010275287643352,0.005639384809656166,0.9496854419101924,0.0986825908766928,0.4738416429080542,0.5700934579439252
24,-0.019157535381801594,0.011279630023486621,-0.00881474340465374,nan,nan,nan,0.0
