h,corr_w_mask_ratio,corr_w_delta_mean,corr_w_delta_max,auc_zero_mask_ratio,auc_zero_delta_mean,auc_zero_delta_max,zero_rate
1,-0.016655985835449125,0.007632416178461718,-0.010199960856636478,nan,nan,nan,0.0
2,-0.018322816422441292,0.00777130950410006,-0.012051029514956815,nan,nan,nan,0.0
3,-0.017193058923807472,0.007480241627328005,-0.010816035716810859,nan,nan,nan,0.0
4,-0.02014703530595842,0.009753904488623791,-0.011788159791868934,nan,nan,nan,0.0
5,-0.022432989789671304,0.011934992238075544,-0.011672091430505498,nan,nan,nan,0.0
6,-0.0192863134518595,0.00964822874410053,-0.010743961236498591,nan,nan,nan,0.0
7,-0.020901908428738302,0.01035208717324445,-0.01238031426485366,nan,nan,nan,0.0
8,-0.04521104428838579,0.020893540206348576,-0.026210272920906847,nan,nan,nan,0.0
9,-0.05127487090309936,0.02667598603056769,-0.023213325771740886,nan,nan,nan,0.0
10,nan,nan,nan,nan,nan,nan,1.0
11,-0.4658508237964777,0.3557782149004583,-0.056607173319625684,0.9021222049689441,0.13327111801242236,0.4531573498964803,0.7850467289719626
12,nan,nan,nan,nan,nan,nan,1.0
13,nan,nan,nan,nan,nan,nan,1.0
14,nan,nan,nan,nan,nan,nan,1.0
15,-0.05616435080740136,0.04412508253190514,-0.014196909608497382,0.7843628222176681,0.2566438975683343,0.5550433835301296,0.9942990654205608
16,nan,nan,nan,nan,nan,nan,1.0
17,0.237666981126228,-0.31772743392214786,-0.08341777903294205,0.2898988566960941,0.7921797170843661,0.5215450993721276,0.9066355140186916
18,nan,nan,nan,nan,nan,nan,1.0
19,nan,nan,nan,nan,nan,nan,1.0
20,nan,nan,nan,nan,nan,nan,1.0
21,0.020847393845716145,0.01052185466272737,-0.03516979629063687,0.9443636293595845,0.08446513558093358,0.4916878013931059,0.5242990654205607
22,-0.08118727553142963,0.04639335058080345,-0.041332953371737764,nan,nan,nan,0.0
23,-0.6187012057387898,0.5452393862849365,-0.034103051552834704,0.9707216856735567,0.0650392017106201,0.4898431931575196,0.5700934579439252
24,-0.019992123312136567,0.008702208269701745,-0.012455775798654688,nan,nan,nan,0.0
