pnl,hhi,top10
-2.46856672,0.01094646,0.15564472
0.20588732,0.00498748,0.10506018
1.11516494,0.01073687,0.15227760
-0.24365380,0.01085720,0.15704521
0.84202449,0.00471690,0.10379036
1.44371877,0.00621763,0.11253816
-0.15814510,0.00280598,0.08099803
0.43147373,0.01084149,0.14569615
1.10347488,0.01324650,0.16340956
-0.27330343,0.00216933,0.06115654
0.32318518,0.00390830,0.08244175
-0.20383164,0.01100721,0.15216749
-0.20983169,0.01198474,0.16088308
0.18427717,0.00546973,0.11022174
-0.24540747,0.01205879,0.17004196
0.65318084,0.01201517,0.17971644
-0.03495259,0.00709380,0.14383531
0.65633858,0.00240032,0.08599854
-0.21346463,0.01273767,0.18935082
0.68588126,0.01066909,0.16591196
-0.55370826,0.01043775,0.15102994
0.07116742,0.01161861,0.15511965
0.46805694,0.01177259,0.15306658
0.36125465,0.00831637,0.11431499
0.35727808,0.01014750,0.12443882
-1.20668206,0.01234771,0.16148928
-0.11301984,0.01111872,0.16356407
-0.21502684,0.00574480,0.13254330
2.23581749,0.01298518,0.17758324
1.46920584,0.01225968,0.14309499
0.58716559,0.01273837,0.15164027
-0.59157017,0.00601481,0.10346016
0.21723998,0.01183335,0.15357645
0.95819628,0.01127106,0.13750607
0.19010293,0.00696029,0.10165702
-1.78405156,0.01088924,0.13904134
-0.07513413,0.00935056,0.14394947
0.18379208,0.00991905,0.13560531
2.14290349,0.01173694,0.15749187
0.59625119,0.01227083,0.17388724
-0.15968493,0.00488524,0.10760967
-0.99073986,0.01124486,0.17024302
1.17315023,0.01288250,0.17241086
0.42513370,0.00563726,0.11747542
0.31828513,0.00669788,0.12829332
2.42297890,0.00857864,0.13957384
-1.02538701,0.01038990,0.15030930
0.77572854,0.00604258,0.12005207
