pnl,hhi,top10
-2.91026620,0.01112197,0.15028775
0.17008612,0.00506745,0.10144423
1.17636093,0.01125794,0.16819201
-0.20290134,0.01139058,0.16302768
0.94800098,0.00496842,0.10776518
1.75334040,0.00634035,0.11521933
-0.11549569,0.00284516,0.08151514
0.53037787,0.01084576,0.14553493
1.32707115,0.01342171,0.16448963
-0.30669633,0.00221301,0.06084272
0.28284903,0.00386324,0.08111127
-0.25531933,0.01097814,0.17211918
-0.23579176,0.01194560,0.15761458
0.20219357,0.00547990,0.10822841
-0.26542461,0.01235099,0.17027046
0.86509760,0.01276228,0.19054234
0.21616132,0.00742875,0.14919580
0.47475509,0.00249853,0.08798090
0.42753680,0.01335838,0.19213485
0.54544276,0.01068709,0.16918984
-0.65177672,0.01068746,0.16109810
-0.13008287,0.01196162,0.15615457
0.25823350,0.01218259,0.15605492
0.36338266,0.00859491,0.11777964
0.33835037,0.01029609,0.12703768
-1.21580471,0.01259627,0.16754880
-0.04299507,0.01165785,0.18227108
-0.27721095,0.00583377,0.13870172
2.39471821,0.01345411,0.19388183
1.69938196,0.01269631,0.15335555
0.69617765,0.01286023,0.14733362
-0.62743253,0.00596384,0.09836903
0.07073085,0.01205796,0.14730408
0.94407961,0.01148010,0.13763485
0.24929156,0.00715733,0.10465467
-2.08860111,0.01124313,0.14366846
-0.07186235,0.00957505,0.14948896
0.11076896,0.01047207,0.17000322
3.30129305,0.01234959,0.16573554
0.94841130,0.01350880,0.18416948
-0.68346366,0.00530746,0.12333883
-2.86714667,0.01275827,0.20391957
3.09609694,0.01472042,0.23261577
0.64127715,0.00672905,0.15737948
0.30384647,0.00838619,0.19126084
5.19039645,0.01063719,0.21175199
-1.66107253,0.01246822,0.21172966
2.59649008,0.00752741,0.17116438
