pnl,hhi,top10
-2.46856672,0.01094646,0.15564472
0.20588732,0.00498748,0.10506018
1.11516494,0.01073687,0.15227760
-0.14512027,0.01066174,0.14861215
0.80832223,0.00464923,0.10285108
1.53995081,0.00617455,0.11175852
-0.14159248,0.00280440,0.08155448
0.47446018,0.01075683,0.14516790
1.32149799,0.01309001,0.16307920
-0.29739642,0.00213777,0.06312433
0.33365198,0.00401504,0.08608544
-0.28732388,0.01137034,0.15758311
-0.27810243,0.01208055,0.17317989
0.18248444,0.00548244,0.11833676
-0.29272568,0.01186473,0.17416469
0.63380856,0.01149521,0.16116635
-0.00307426,0.00657809,0.12112490
0.69236434,0.00222437,0.07738189
-0.33997406,0.01245086,0.18462995
0.74351752,0.01054748,0.16627478
-0.58219152,0.00989036,0.13885998
-0.06397279,0.01097563,0.14949153
0.33043279,0.01127345,0.14851593
0.30288709,0.00826519,0.12385667
0.41221886,0.01032270,0.13366640
-1.06515522,0.01210068,0.15517536
-0.16771537,0.01066702,0.13951723
-0.21933266,0.00534784,0.11701416
1.68065325,0.01294379,0.15918322
1.41286297,0.01223344,0.15154602
0.56788039,0.01237952,0.15596771
-0.53132803,0.00588967,0.10390396
0.05119771,0.01184571,0.14967384
0.95309405,0.01131327,0.13788875
0.17639611,0.00700594,0.10255094
-1.78259775,0.01095921,0.14022872
-0.16159377,0.00917675,0.13070719
0.24611606,0.00988749,0.13448680
1.49099256,0.01175279,0.16116311
0.64907342,0.01224703,0.17674003
-0.22689294,0.00496571,0.11217967
-1.12256030,0.01131526,0.18064125
1.40042619,0.01295958,0.17966604
0.57339596,0.00562146,0.12013111
0.36360955,0.00665956,0.12879104
2.63304494,0.00849670,0.14052959
-0.99012590,0.01028985,0.15012485
0.89929930,0.00596417,0.12000000
