pnl,hhi,top10
-9.18478495,0.02123890,0.35175525
-0.13757446,0.00922839,0.23106680
2.13462631,0.02203564,0.36176637
0.24306874,0.02324243,0.39402489
1.20517863,0.01053800,0.26750366
4.44712338,0.01392818,0.30905988
0.64642157,0.00574371,0.19291770
1.08733913,0.01524168,0.28881217
1.26485218,0.01648222,0.28269710
-0.75749815,0.00255768,0.10096419
-0.31647731,0.00444149,0.13014166
-0.49654301,0.01361777,0.24694597
-0.98475442,0.01504400,0.24106493
0.24048269,0.00657535,0.15468870
-0.23578729,0.01352523,0.21687968
1.68399641,0.01337284,0.19930135
-0.36810844,0.00754028,0.14010888
0.24950005,0.00238500,0.08270084
0.13195096,0.01415334,0.20960768
0.20703337,0.01264144,0.19334930
-0.80283827,0.01226814,0.18181184
0.95288349,0.01472445,0.22134786
0.83049282,0.01611112,0.24176273
0.80118136,0.01215840,0.20674410
0.60361828,0.01549196,0.24455819
-4.09285786,0.01976297,0.27894992
0.53944506,0.01800353,0.27513506
-1.19329644,0.00856923,0.19099748
8.67743984,0.02256567,0.32085820
5.48474704,0.02241392,0.32595602
0.92428510,0.02215692,0.32143448
-3.73106608,0.01034948,0.21688243
0.47406595,0.02497197,0.36210634
4.08574229,0.02372485,0.36342351
3.46151618,0.01531352,0.29303401
-8.53544606,0.02570951,0.38876510
-0.88675506,0.02007348,0.33945728
-0.46465452,0.02108455,0.34853229
12.60776168,0.02364450,0.36024257
3.93832803,0.02422751,0.36698380
-1.90506695,0.00974470,0.23676434
-9.11194517,0.02143853,0.34596504
7.99449038,0.02255030,0.36679760
1.17263785,0.00930158,0.23353362
-0.39772723,0.01255923,0.26396608
13.67938056,0.01608267,0.29464481
-4.53166779,0.01792312,0.31188432
5.84516323,0.01014831,0.22965088
