time_key,n_assets,pearson,spearman,pearson_cs,spearman_cs
21695,100,0.778276,0.104722,0.778276,0.104722
21791,100,-0.179233,-0.256190,-0.179233,-0.256190
21815,100,-0.589457,-0.346451,-0.589457,-0.346451
21839,100,0.106735,-0.023414,0.106735,-0.023414
21863,100,-0.350967,-0.083247,-0.350967,-0.083247
21959,100,-0.762494,-0.006949,-0.762494,-0.006949
21983,100,-0.384357,-0.100630,-0.384357,-0.100630
22007,100,-0.545810,-0.079712,-0.545810,-0.079712
22031,100,-0.722083,0.308198,-0.722083,0.308198
22127,100,0.844425,0.188263,0.844425,0.188263
22151,100,0.464198,-0.300493,0.464198,-0.300493
22175,100,0.454737,0.170681,0.454737,0.170681
22199,100,0.755158,0.040876,0.755158,0.040876
22319,100,0.031010,0.078296,0.031010,0.078296
22343,100,0.386865,-0.138398,0.386865,-0.138398
22367,100,-0.833961,-0.178998,-0.833961,-0.178998
22463,100,0.438847,0.043456,0.438847,0.043456
22487,100,0.384577,0.062994,0.384577,0.062994
22511,100,-0.591951,-0.266961,-0.591951,-0.266961
22535,100,0.549305,0.119508,0.549305,0.119508
22631,100,0.023700,0.193406,0.023700,0.193406
22655,100,-0.139148,-0.264795,-0.139148,-0.264795
22679,100,-0.150846,-0.157924,-0.150846,-0.157924
22703,100,0.331292,0.137090,0.331292,0.137090
22799,100,0.100467,0.021536,0.100467,0.021536
22823,100,-0.226029,0.196160,-0.226029,0.196160
22847,100,0.622454,0.549663,0.622454,0.549663
22871,100,-0.109010,0.008785,-0.109010,0.008785
22967,100,0.394064,0.003852,0.394064,0.003852
22991,100,0.160605,0.113634,0.160605,0.113634
23015,100,-0.102998,-0.078116,-0.102998,-0.078116
23039,100,-0.388458,-0.368401,-0.388458,-0.368401
23135,100,0.162319,0.023102,0.162319,0.023102
23159,100,0.355239,-0.138854,0.355239,-0.138854
23183,100,0.413905,0.245629,0.413905,0.245629
23207,100,-0.444587,-0.115896,-0.444587,-0.115896
23303,100,-0.222715,-0.121080,-0.222715,-0.121080
23327,100,-0.348783,-0.407561,-0.348783,-0.407561
23351,100,0.509187,0.333429,0.509187,0.333429
23375,100,0.368091,0.149787,0.368091,0.149787
23471,100,-0.349966,-0.218783,-0.349966,-0.218783
23495,100,-0.353002,-0.052889,-0.353002,-0.052889
23519,100,0.504076,0.044201,0.504076,0.044201
23543,100,0.167512,-0.186691,0.167512,-0.186691
23639,100,-0.165365,-0.156808,-0.165365,-0.156808
23663,100,0.589289,0.311263,0.589289,0.311263
23687,100,-0.247916,0.010681,-0.247916,0.010681
23711,100,0.516204,0.176118,0.516204,0.176118
