h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.9689719626168224,0.1501755714416504,0.0,0.23751765489578247,0.6110572814941406,2.631885290145874,0.00882571842521429,0.01696375571191311,0.007443825714290142
2,0.9881297317506309,0.1723381131887436,0.0,0.2790345251560211,0.7206808924674988,2.5597469806671143,0.009960353374481201,0.016350358724594116,0.007664409000426531
3,0.9884101317880176,0.17778590321540833,0.0,0.28911182284355164,0.7112730145454407,2.6136624813079834,0.009658240713179111,0.017371119931340218,0.008519255556166172
4,0.9832710280373832,0.1586368978023529,0.0,0.26129409670829773,0.6733171343803406,2.617568254470825,0.008618944324553013,0.018382633104920387,0.007734497543424368
5,0.981214953271028,0.1522560715675354,0.0,0.24927908182144165,0.6568914651870728,2.5492520332336426,0.008098912425339222,0.018705977126955986,0.007740318309515715
6,0.9679439252336448,0.15191631019115448,0.0,0.23741979897022247,0.587865948677063,2.522477626800537,0.008013390935957432,0.019316930323839188,0.008346161805093288
7,0.9945652173913043,0.21448585391044617,0.0,0.36469897627830505,0.8213164210319519,2.663832902908325,0.013630886562168598,0.01680859364569187,0.007940283976495266
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.97375,0.1568555384874344,0.0,0.2589641809463501,0.6581739187240601,2.5483317375183105,0.009438182227313519,0.01644694060087204,0.007381932809948921
