h,coverage90,width90,pinball10,pinball50,pinball90
1,0.9852336448598131,0.18193696439266205,0.010386073030531406,0.01696375571191311,0.00832856260240078
2,0.9953266660435555,0.20878708362579346,0.01176432054489851,0.016350358724594116,0.009282195009291172
3,0.9957005327600711,0.21538716554641724,0.011516018770635128,0.017371119931340218,0.010186157189309597
4,0.9945794392523365,0.1921880543231964,0.010259225964546204,0.018382633104920387,0.00915595330297947
5,0.9933644859813084,0.18445825576782227,0.009664783254265785,0.018705977126955986,0.009011399932205677
6,0.9855140186915888,0.18404564261436462,0.009549072943627834,0.019316930323839188,0.009347532875835896
7,0.9995652173913043,0.25984853506088257,0.015898585319519043,0.01680859364569187,0.010095277801156044
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.9872916666666667,0.19003017246723175,0.011075803078711033,0.01644694060087204,0.008480118587613106
