h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.9669158878504673,0.1477072536945343,0.0,0.2336146980524063,0.6010165810585022,2.6318843364715576,0.008705634623765945,0.01696375571191311,0.007396628614515066
2,0.9654173287223105,0.13375554978847504,0.0,0.21656501293182373,0.5593366622924805,2.5597474575042725,0.008070616982877254,0.016350358724594116,0.006523687858134508
3,0.980371997382933,0.15986540913581848,0.0,0.25996989011764526,0.6395781636238098,2.6136622428894043,0.008781841956079006,0.017371119931340218,0.00784294307231903
4,0.9838317757009346,0.15954740345478058,0.0,0.26279354095458984,0.6771813035011292,2.617567777633667,0.008662862703204155,0.018382633104920387,0.0077663385309278965
5,0.9875700934579439,0.16438528895378113,0.0,0.269136518239975,0.7092189192771912,2.5492520332336426,0.008683368563652039,0.018705977126955986,0.008168595843017101
6,0.9813084112149533,0.172329381108284,0.0,0.2693227231502533,0.6668593883514404,2.5224781036376953,0.008980990387499332,0.019316930323839188,0.008933487348258495
7,0.8804347826086957,0.09550625085830688,0.0,0.16239336133003235,0.36571624875068665,2.663832902908325,0.007767347153276205,0.01680859364569187,0.007759105879813433
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.9533333333333334,0.13158035278320312,0.0,0.21723613142967224,0.5521193742752075,2.548332452774048,0.00820862501859665,0.01644694060087204,0.007057308219373226
