h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.9890654205607476,0.16729679703712463,0.0,0.3285999596118927,1.1379481554031372,3.297839403152466,0.008705303072929382,0.019631734117865562,0.008335130289196968
2,0.964949995326666,0.1525440365076065,0.0,0.280028760433197,0.9884504079818726,3.0157413482666016,0.0095707131549716,0.022917378693819046,0.006504891440272331
3,0.9825217310028974,0.1658039689064026,0.0,0.3075121343135834,1.0166893005371094,3.1734306812286377,0.009251858107745647,0.02071172371506691,0.007789229042828083
4,0.9552336448598131,0.15288761258125305,0.0,0.26070931553840637,0.9143760800361633,2.9487414360046387,0.009424138814210892,0.02340712957084179,0.006814155727624893
5,0.9769158878504672,0.15770883858203888,0.0,0.2621665298938751,0.8596253991127014,2.862082004547119,0.007898521609604359,0.022962186485528946,0.008476311340928078
6,0.9833644859813084,0.15775716304779053,0.0,0.2835919260978699,0.9853158593177795,2.9777050018310547,0.00778474984690547,0.020062889903783798,0.008432258851826191
7,0.9934782608695653,0.19508248567581177,0.0,0.3049773871898651,0.9006296992301941,2.74322247505188,0.008625936694443226,0.01863567717373371,0.010971138253808022
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.943125,0.1604258269071579,0.0,0.29305970668792725,1.005118727684021,3.1537880897521973,0.01069191750138998,0.026646263897418976,0.006818739697337151
