h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.9776635514018691,0.11522939056158066,0.0,0.2125777304172516,0.42071038484573364,2.794504404067993,0.005659949500113726,0.012865292839705944,0.006373411510139704
2,0.9822413309655108,0.12170493602752686,0.0,0.22785751521587372,0.4204457104206085,2.8440420627593994,0.005927365273237228,0.011655785143375397,0.006681481841951609
3,0.9746705299560706,0.11668917536735535,0.0,0.2096884399652481,0.3982793390750885,2.740036964416504,0.005745214875787497,0.012144451960921288,0.006462439429014921
4,0.9652336448598131,0.1210179552435875,0.0,0.2280333787202835,0.4422735869884491,2.890456438064575,0.005263069178909063,0.014267443679273129,0.007381313946098089
5,0.944392523364486,0.12352660298347473,0.0,0.22499194741249084,0.44585102796554565,2.7626326084136963,0.005030324216932058,0.01575656048953533,0.007967298850417137
6,0.9830841121495327,0.1251058131456375,0.0,0.24936293065547943,0.45791804790496826,2.9869067668914795,0.0067992121912539005,0.012790079228579998,0.006259106565266848
7,0.9741304347826087,0.12657155096530914,0.0,0.22602617740631104,0.4206699728965759,2.631763458251953,0.005382094997912645,0.013358482159674168,0.0076995776034891605
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.9729166666666667,0.11969605833292007,0.0,0.22113212943077087,0.4282916486263275,2.844635486602783,0.00586697505787015,0.013163721188902855,0.006908721290528774
