h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.9491588785046728,0.12129150331020355,0.0,0.19183453917503357,0.4935293197631836,2.631884813308716,0.0061278254725039005,0.01696375571191311,0.007722677197307348
2,0.9786895971586129,0.139191135764122,0.0,0.2253662496805191,0.5820683240890503,2.559746265411377,0.006828544195741415,0.016350358724594116,0.007676639128476381
3,0.9762594635012618,0.14359134435653687,0.0,0.23350535333156586,0.5744701027870178,2.6136622428894043,0.006449777167290449,0.017371119931340218,0.008493190631270409
4,0.964392523364486,0.12812529504299164,0.0,0.21103793382644653,0.543814480304718,2.617567777633667,0.006090712733566761,0.018382633104920387,0.007538268342614174
5,0.9577570093457944,0.12297198176383972,0.0,0.2013338804244995,0.5305477976799011,2.5492520332336426,0.006015921477228403,0.018705977126955986,0.007262877654284239
6,0.9266355140186916,0.12269717454910278,0.0,0.19175559282302856,0.47479838132858276,2.5224785804748535,0.005661162547767162,0.019316930323839188,0.008389118127524853
7,0.9917391304347826,0.1732322722673416,0.0,0.2945544421672821,0.6633482575416565,2.6638331413269043,0.00946828443557024,0.01680859364569187,0.008032426238059998
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.9535416666666666,0.12668688595294952,0.0,0.20915627479553223,0.5315836071968079,2.548332929611206,0.007127874530851841,0.01644694060087204,0.007368762511759996
