h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.9566355140186916,0.18464945256710052,0.0,0.2964840829372406,0.657999575138092,2.1462173461914062,0.012904787436127663,0.02092570811510086,0.006047191563993692
2,0.9074679876623983,0.1885119378566742,0.0,0.30866456031799316,0.6735782027244568,2.199967384338379,0.01426477450877428,0.023110996931791306,0.005399198271334171
3,0.8458734461164595,0.2025866061449051,0.0,0.3208729028701782,0.705098032951355,2.131546974182129,0.01559956930577755,0.02799145132303238,0.006135187577456236
4,0.9565420560747664,0.1832420974969864,0.0,0.2865296006202698,0.6143487691879272,2.0651276111602783,0.013581093400716782,0.024193141609430313,0.005443274043500423
5,0.9229906542056074,0.1835891306400299,0.0,0.27444887161254883,0.6117578148841858,2.021125078201294,0.013704598881304264,0.02455436997115612,0.00541192851960659
6,0.9824299065420561,0.18126967549324036,0.0,0.28680163621902466,0.6301606893539429,2.083932399749756,0.012692569755017757,0.02223622240126133,0.006178718525916338
7,0.9904347826086957,0.18180663883686066,0.0,0.27749791741371155,0.6022248268127441,2.103911876678467,0.011827941052615643,0.018691524863243103,0.006611927878111601
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.934375,0.21291334927082062,0.0,0.33538758754730225,0.7301584482192993,2.163454294204712,0.016374941915273666,0.028110288083553314,0.0060003697872161865
