h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.9790654205607476,0.14669638872146606,0.0,0.3129256069660187,0.9384308457374573,3.931994676589966,0.005948111414909363,0.012792790308594704,0.009201489388942719
2,0.9800915973455463,0.16643479466438293,0.0,0.35826706886291504,1.0764479637145996,4.23844051361084,0.007030655164271593,0.01018365565687418,0.01007941085845232
3,0.9774745303299374,0.15840217471122742,0.0,0.3492399752140045,1.0875110626220703,4.25244140625,0.006940760184079409,0.010409453883767128,0.009406008757650852
4,0.9402803738317757,0.14072075486183167,0.0,0.2928643524646759,0.9090887904167175,3.917093515396118,0.005025533027946949,0.013321240432560444,0.009828169830143452
5,0.9687850467289719,0.13695548474788666,0.0,0.2946019172668457,0.7961298227310181,3.7880382537841797,0.005596068222075701,0.012686491943895817,0.008680363185703754
6,0.9647663551401869,0.12682993710041046,0.0,0.2850837707519531,0.8242454528808594,4.086478233337402,0.005681553855538368,0.012503423728048801,0.007697421591728926
7,0.9630434782608696,0.15011033415794373,0.0,0.29913896322250366,0.9845761656761169,3.8684089183807373,0.006684546824544668,0.016152268275618553,0.008931356482207775
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.831875,0.15727591514587402,0.0,0.34790658950805664,0.9638562798500061,4.124578952789307,0.005039530340582132,0.019443625584244728,0.012241008691489697
