h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.7600934579439252,0.09394170343875885,0.0,0.16235078871250153,0.311031311750412,2.1060564517974854,0.007793390657752752,0.01468733698129654,0.005323349963873625
2,0.9682213290961772,0.10774479806423187,0.0,0.1958746612071991,0.3789627254009247,2.313596725463867,0.006222840398550034,0.010248308070003986,0.005545671097934246
3,0.8287690438358725,0.10392467677593231,0.0,0.1828591525554657,0.36357712745666504,2.1777124404907227,0.008070211857557297,0.015508373267948627,0.005323483608663082
4,0.6504672897196262,0.09164097160100937,0.0,0.15489265322685242,0.31166231632232666,2.118144989013672,0.007798179052770138,0.015717176720499992,0.005627514328807592
5,0.7800934579439253,0.090194933116436,0.0,0.1558258831501007,0.31409555673599243,2.162386655807495,0.007381400093436241,0.015739403665065765,0.0056611523032188416
6,0.8185046728971963,0.09667561203241348,0.0,0.16940735280513763,0.3481665849685669,2.225501775741577,0.0077413828112185,0.013965187594294548,0.004579222295433283
7,0.43782608695652175,0.09147949516773224,0.0,0.15095898509025574,0.3125469982624054,2.0958845615386963,0.008924392983317375,0.021745016798377037,0.011197658255696297
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.9372916666666666,0.10492942482233047,0.0,0.18350647389888763,0.37362849712371826,2.1775357723236084,0.007428670767694712,0.013007733970880508,0.004844586830586195
