h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.9580373831775701,0.08101043850183487,0.0,0.16055342555046082,0.3331080973148346,2.5781137943267822,0.0045839655213057995,0.008290423080325127,0.006286179646849632
2,0.9326105243480699,0.07525144517421722,0.0,0.14756156504154205,0.31460249423980713,2.556256055831909,0.005488007329404354,0.00968348141759634,0.004583535250276327
3,0.9457893261052435,0.07535500824451447,0.0,0.14239385724067688,0.28780853748321533,2.4040589332580566,0.005140211898833513,0.008488361723721027,0.005127574782818556
4,0.9565420560747664,0.0825844332575798,0.0,0.1677657663822174,0.3816041350364685,2.66922664642334,0.005530743394047022,0.00977238081395626,0.0054629151709377766
5,0.9376635514018692,0.07258934527635574,0.0,0.13924099504947662,0.3015552759170532,2.4571311473846436,0.005139900837093592,0.00935968104749918,0.005053413566201925
6,0.9616822429906542,0.08674919605255127,0.0,0.17365825176239014,0.36707431077957153,2.5876479148864746,0.00527553865686059,0.008877540938556194,0.006262889597564936
7,0.966304347826087,0.09764911234378815,0.0,0.19046299159526825,0.3694695830345154,2.5057616233825684,0.005549674853682518,0.008922089822590351,0.005863828584551811
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.9483333333333334,0.08129817992448807,0.0,0.16623754799365997,0.3293074071407318,2.636873960494995,0.004799704998731613,0.009281489066779613,0.007037824019789696
