h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.9945794392523365,0.2682906985282898,0.0,0.3774644732475281,1.362492322921753,2.576265335083008,0.011363913305103779,0.01642252691090107,0.0156549159437418
2,0.9919618655949154,0.24046778678894043,0.0,0.3134732246398926,1.0820904970169067,2.330273389816284,0.009963342919945717,0.015784794464707375,0.014352417550981045
3,0.9885035984671464,0.22976742684841156,0.0,0.3105248808860779,1.0427308082580566,2.4044437408447266,0.01025379728525877,0.017380185425281525,0.013034254312515259
4,0.9721495327102804,0.2142624706029892,0.0,0.30141517519950867,1.1067001819610596,2.48647141456604,0.01109643280506134,0.01983913592994213,0.010908553376793861
5,0.9430841121495327,0.20526686310768127,0.0,0.2732224762439728,1.015063762664795,2.417935371398926,0.011184328235685825,0.023738918825984,0.010335220955312252
6,0.9755140186915888,0.21290704607963562,0.0,0.3078118860721588,1.113126277923584,2.61094069480896,0.010683148168027401,0.020046740770339966,0.011152335442602634
7,0.9908695652173913,0.2132287621498108,0.0,0.3327183723449707,1.0698299407958984,2.5824031829833984,0.007713572587817907,0.014009411446750164,0.01372520625591278
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.9852083333333334,0.26242318749427795,0.0,0.40562111139297485,1.3216543197631836,2.4659481048583984,0.01452414970844984,0.024853244423866272,0.012303968891501427
