h,coverage90,width90,width_zero_rate,width_p95,width_p99,bimod_ratio,pinball10,pinball50,pinball90
1,0.989626168224299,0.1471589058637619,0.0,0.25754988193511963,0.5264350771903992,2.539426803588867,0.007158902008086443,0.011977183632552624,0.007820039987564087
2,0.967567062342275,0.156294047832489,0.0,0.2807888984680176,0.5615487098693848,2.5563347339630127,0.006153278984129429,0.015152014791965485,0.009939408861100674
3,0.9761659968221329,0.16284605860710144,0.0,0.30124005675315857,0.6053016185760498,2.72831392288208,0.006739675533026457,0.014497780241072178,0.009944597259163857
4,0.9508411214953271,0.13487546145915985,0.0,0.2451067417860031,0.528716504573822,2.699211835861206,0.005991066340357065,0.014805157668888569,0.008179902099072933
5,0.9553271028037383,0.15005797147750854,0.0,0.24912625551223755,0.5477879047393799,2.510965585708618,0.006382024846971035,0.015080456621944904,0.009260367602109909
6,0.9486915887850468,0.14662612974643707,0.0,0.24715980887413025,0.5935158133506775,2.5439658164978027,0.006260368041694164,0.014780999161303043,0.009099392220377922
7,0.8202173913043478,0.13934239745140076,0.0,0.22846457362174988,0.48506903648376465,2.306156635284424,0.010327531956136227,0.021572591736912727,0.005072417203336954
8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
9,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
10,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
11,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
12,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
13,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
14,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
15,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
16,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
17,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
18,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
19,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
20,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
21,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.9491666666666667,0.16852498054504395,0.0,0.2298162430524826,0.47512608766555786,1.847416639328003,0.0063422201201319695,0.01773907244205475,0.011517052538692951
